吖	kyaz	口丫
撂	ftwk	扌田夂口
撩	fdbx	扌大丷日小
敹	bbcw	⺊冖釆攵
料	mdzi	米斗
暸	odbx	日大丷日小
曢	obdx	日宀大丷日小
橑	mdbx	木大丷日小
漻	dxxp	氵习习𠆢彡
炓	hdzo	火斗
燎	hdbx	火大丷日小
爎	hbdx	火宀大丷日小
爒	xhdx	𱼀火大丷日小
獠	qdbx	犭大丷日小
璙	wdbx	𤣩大丷日小
疗	blek	疒了
療	bdbx	疒大丷日小
瞭	odbx	目大丷日小
窷	bbee	宀八耳𠂎卩
竂	bbdx	宀八大丷日小
簝	vdbx	竹大丷日小
繆	sxxp	糹习习𠆢彡
繚	sdbx	糹大丷日小
缪	sxxp	纟习习𠆢彡
缭	sdbx	纟大丷日小
聊	eper	耳𠂎卩
膋	hhbo	火火冖⺝
膫	odbx	⺼大丷日小
蓼	cxxp	艹习习𠆢彡
藔	cbdx	艹宀大丷日小
蟟	idbx	虫大丷日小
豂	gxxp	谷习习𠆢彡
賿	bxxp	貝习习𠆢彡
蹘	zxxp	𧾷习习𠆢彡
蹽	zdbx	𧾷大丷日小
辽	zlez	辶了
遼	zdbx	辶大丷日小
鄝	xxre	习习𠆢彡⻏
釕	jlen	金了
鐐	jdbx	金大丷日小
钌	jlen	钅了
镣	jdbx	钅大丷日小
镽	egdx	E𠫔大丷日小
飂	fxxp	風习习𠆢彡
飉	fdbx	風大丷日小
髎	goxp	冎⺼习习𠆢彡
鷯	dbon	大丷日小鳥
鹩	dbon	大丷日小鸟
𠐋	roxp	亻⺼习习𠆢彡
𠖂	bjyc	冖九幺
𠨥	pepe	𠂎耳𠂎卩
𠺕	kpdt	口{丿𠄌丶}刀田
𡻪	uxxp	山习习𠆢彡
𢄷	jdbx	巾大丷日小
𢊻	gjrx	广𦥑人小
𢨺	hper	戶𠂎卩
𢸘	fbdx	扌宀大丷日小
𢻢	dbov	大丷日小支
𢼙	xwfs	兄攵
𢿞	dboy	大丷日小⺊又
𣁰	djbz	斗斤
𣎸	mleu	木了
𣟆	mzdx	木辶大丷日小
𣩢	ddbx	歹大丷日小
𤊽	dboh	大丷日火
𤑗	xhvg	𱼀火巛果
𤵠	bper	疒𠂎卩
𥗀	ucxp	石艹习习𠆢彡
𥛰	udbx	示大丷日小
𥲊	vepe	竹耳𠂎卩
𦌒	sdbx	罒大丷日小
𦕵	ebnq	耳宀牛
𦗖	exxp	耳习习𠆢彡
𦪕	vdbx	舟大丷日小
𦺹	cepe	艹耳𠂎卩
𧂏	czdx	艹辶大丷日小
𧘈	plep	衤了
𧝜	pdbx	衤大丷日小
𧡜	oojm	日月見
𧽽	tzdx	土龰大丷日小
𨖚	zmox	辶木日小
𨣀	ydbx	酉大丷日小
𩕐	dboy	大丷日小頁
𩖝	fvpp	風㇉丿
𩯊	egpx	E𠫔彡大丷日小
𩴤	gdbx	鬼大丷日小
𪌀	lwle	來{夊}了
𪌵	lwqq	來{夊}求
𪖷	ztwp	自田丌习习𠆢彡
㤠	ddxb	歹刂心
㧜	fkjb	扌匚巾
㬯	owky	日亡口月凡羊
㭞	muli	木少力
㯿	mvkv	木巛囗㐅{鼠下}
㲱	mvkv	毛巛囗㐅{鼠下}
㸹	nvcy	牜爫寸
㼲	edwa	而大瓦
㽟	tvcy	田爫寸
䁽	ovkv	目巛囗㐅{鼠下}
䅀	hddc	禾歹刂
䉭	vvkv	竹巛囗㐅{鼠下}
䓟	cktk	艹⺆土口
䜲	gvkv	谷巛囗㐅{鼠下}
䟩	zquu	𧾷去
䟹	zvcy	𧾷爫寸
䴕	ddnn	歹刂鸟
儠	rvkv	亻巛囗㐅{鼠下}
冽	dddc	冫歹刂
列	ddcd	歹刂
劣	ulic	少力
劦	llli	力力力
劽	ddli	歹刂力
咧	kddc	口歹刂
哷	kvcy	口爫寸
埒	tvcy	土爫寸
埓	tvpc	土爫丿寸
姴	ddnv	歹刂女
巤	vkxv	巛囗㐅{鼠下}
忚	xyeb	忄也
挒	fddc	扌歹刂
挘	fuli	扌少力
捩	fhqr	扌户犬
栵	mddc	木歹刂
毟	umcc	少毛
洌	dddc	氵歹刂
浖	dvcy	氵爫寸
烈	ddho	歹刂灬
烮	ddho	歹刂火
煭	vddh	巛歹刂灬
燤	hctd	火艹田冂一丶
犣	nvkv	牜巛囗㐅{鼠下}
猎	qcao	犭卄一日
猟	qxjf	犭𭕄⺇𰀁
獵	qvkv	犭巛囗㐅{鼠下}
聗	edrr	耳大人人
脟	ovcy	⺼爫寸
茢	cddc	艹歹刂
蛚	iddc	虫歹刂
裂	ddyi	歹刂衣
趔	tzdd	土龰歹刂
躐	zvkv	𧾷巛囗㐅{鼠下}
迾	zddc	辶歹刂
颲	fddc	風歹刂
鬛	egpv	E𠫔彡囗㐅{鼠下}
鬣	egpv	E𠫔彡巛囗㐅{鼠下}
鮤	ddyu	歹刂魚
鱲	yvkv	魚巛囗㐅{鼠下}
鴷	ddnn	歹刂鳥
𠛱	vxdc	巛夕刂
𠠗	vkxd	巛囗㐅{鼠下}刂
𠷈	kryu	口彳聿
𡁓	kedw	口而大瓦
𡂏	kvpv	口巛丿囗㐅{鼠下}
𡂩	kede	口而大耳
𡊻	tddc	土歹刂
𡏵	ewtu	而瓦土
𡒏	tvkv	土巛囗㐅丿氺⺃
𡓍	tvkv	土巛囗㐅{鼠下}
𡭣	xucn	小少
𡿩	vkaa	巛冂{一}
𢣓	edwx	而大瓦心
𣁷	vcdz	爫寸斗
𣁻	dvcy	斗爫寸
𣋲	ovkv	日巛囗㐅{鼠下}
𣝚	edwm	而大瓦木
𤁯	dvkv	氵巛囗㐅{鼠下}
𤐱	edwh	而大瓦火
𤓿	vsyz	爪巳又
𤖺	pddc	片歹刂
𤜓	nvgo	牜巛龜目
𤞊	qddc	犭歹刂
𤡕	qnnr	犭鳥
𤢪	qvkv	犭巛囗㐅{鼠下}
𤱃	tmum	田木
𤱛	them	田禾
𥪂	ldrr	立大人人
𥲁	vewa	竹而瓦
𥶢	vvku	竹巛囗㐅⺇氺
𥷨	veee	竹耳耳耳
𥸸	tmim	{𠃑大}米
𦓤	pwwp	丿未
𦖩	eder	而大耳
𦾳	cedw	艹而大瓦
𧀨	cvkv	艹巛囗㐅{鼠下}
𧓐	edwi	而大瓦虫
𧞕	edwy	而大瓦衣
𧭌	yedw	訁而大瓦
𧭞	yvkv	訁巛囗㐅{鼠下}
𧰠	tkbv	士口䒑巛囗㐅{鼠下}
𨆍	zcor	𧾷艹曰勹𠃊人
𨕜	zmjq	辶米乆
𨤤	lyei	里也
𩆣	yedw	雨而大瓦
𩙑	fvkv	風巛囗㐅{鼠下}
𩢾	ddma	歹刂馬
𩭌	egpr	E𠫔彡大人人
𩼭	edwy	而大瓦魚
㐭	wkkz	亠囗口
㔂	mxfd	米夕㐄刂
㖁	kxus	口㐅𠂇厶
㝝	bmmu	宀木木
㨆	fmmu	扌木木
㷠	hhxf	火火夕㐄
䉮	vmrv	竹門亻{隹右}
䕲	cgwu	艹广亠囗口示
䗲	imxf	虫米夕㐄
䚬	dymf	⺈用米夕㐄
䢯	zhhf	辶火火夕㐄
䫐	mmye	木木頁
䫰	ymxf	頁米夕㐄
䮼	mhhf	馬火火夕㐄
临	lpdk	〢𠂉丶𫩏
亃	mxfv	米夕㐄乚
僯	rmxf	亻米夕㐄
冧	bmmu	冖木木
凛	dwku	冫亠囗口示
凜	dwkh	冫亠囗口禾
厸	ssii	厶厶
吝	wkzf	文口
壣	teyj	土耳幺幺𠂈{丩}
崊	ummu	山木木
嶙	umxf	山米夕㐄
廩	gwkh	广亠囗口禾
廪	gwku	广亠囗口示
恡	xxus	忄㐅𠂇厶
悋	xwkz	忄文口
懍	xwkh	忄亠囗口禾
懔	xwku	忄亠囗口示
拎	frds	扌𠆢丶龴
撛	fmxf	扌米夕㐄
斴	mxfj	米夕㐄斤
晽	ommu	日木木
暽	omxf	日米夕㐄
林	mmuu	木木
橉	mmxf	木米夕㐄
檁	mwkh	木亠囗口禾
檩	mwku	木亠囗口示
淋	dmmu	氵木木
潾	dmxf	氵米夕㐄
澟	dwkh	氵亠囗口禾
瀶	dipk	氵臣𠂉口口口
焛	mhof	門火
燐	hmxf	火米夕㐄
獜	qmxf	犭米夕㐄
琳	wmmu	𤣩木木
璘	wmxf	𤣩米夕㐄
甐	mxfw	米夕㐄瓦
疄	tmxf	田米夕㐄
痳	bmmu	疒木木
癛	bwkh	疒亠囗口禾
癝	bwku	疒亠囗口示
瞵	omxf	目米夕㐄
碄	ummu	石木木
磷	umxf	石米夕㐄
箖	vmmu	竹木木
粦	mxfg	米夕㐄
粼	mxfv	米夕㐄巜
繗	smxf	糹米夕㐄
翷	mxfx	米夕㐄习习
膦	omxf	⺼米夕㐄
臨	ipkk	臣𠂉口口口
菻	cmmu	艹木木
蔺	cmrv	艹门亻{隹右}
藺	cmrv	艹門亻{隹右}
賃	rwbw	亻壬貝
赁	rwbw	亻壬贝
蹸	zmxf	𧾷米夕㐄
躏	zcmv	𧾷艹门亻{隹右}
躙	zmrv	𧾷門亻{隹右}
躪	zcmv	𧾷艹門亻{隹右}
轔	imxf	車米夕㐄
轥	icmv	車艹門亻{隹右}
辚	imxf	车米夕㐄
遴	zmxf	辶米夕㐄
邻	rdse	𠆢丶龴⻏
鄰	mxfe	米夕㐄⻏
鏻	jmxf	金米夕㐄
閵	mrvu	門亻{隹右}
阾	erds	⻖𠆢丶龴
隣	emxf	⻖米夕㐄
霖	ymmu	雨木木
驎	mmxf	馬米夕㐄
鱗	ymxf	魚米夕㐄
鳞	ymxf	鱼米夕㐄
麐	lwkz	鹿文口
麟	lmxf	鹿米夕㐄
𠐼	ripk	亻臣𠂉口口口
𠓮	rakk	入丆囗口
𡃦	kmrv	口門亻{隹右}
𡬜	bfbd	宀𠀎八⺀宀𠀎八⺀宀𠀎八⺀
𡰚	mxfy	米夕㐄尤
𡳞	umxf	尸米夕㐄
𡶱	uxus	山㐅𠂇厶
𡹇	ummu	山木木
𡻫	uwkk	山亠口口口
𡿠	uymf	山魚米夕㐄
𣇰	ommu	日木木
𤂶	dmrv	氵門亻{隹右}
𤌎	emho	𠄟門火
𤎭	hhwk	火火亠囗口
𤗷	pmxf	片米夕㐄
𥓆	uyui	石又石
𥳞	vmxf	竹米夕㐄
𥶒	vhhf	竹火火夕㐄
𥷖	vmxw	竹米夕㐄瓦
𥻋	mxfb	米夕㐄八
𥼭	mmxf	米米夕㐄
𦺸	cmxf	艹米夕㐄
𧃮	chmf	艹火米夕㐄
𧖔	emii	𠄟門虫虫虫
𧲂	umxf	豕米夕㐄
𧵧	bxus	貝㐅𠂇厶
𧶆	bwkz	貝文口
𧹩	idsi	赤東
𨏨	iyby	車雨丷一业
𨸻	ewsi	⻖夂厶
𩞻	umxf	飠米夕㐄
𩣖	mwkz	馬文口
𩱬	jmmg	𦥑木木鬲
𩴠	gmxf	鬼米夕㐄
𩻜	lqyu	來犬魚
㖫	ktew	口土儿夂
㡵	grds	广𠆢丶龴
㥄	xtew	忄土儿夂
㦭	xykr	忄雨口口口工人人
㪮	ykky	雨口口口⺊又
㬡	oyrs	日雨𠆢丶龴
㯪	myrs	木雨𠆢丶龴
㱥	dtew	歹土儿夂
㲆	tuus	士𠃜殳𠆢丶龴
㸳	nrds	牜𠆢丶龴
㻏	weho	𤣩彐火
㾉	brds	疒𠆢丶龴
䄥	pykr	礻雨口口口工人人
䈊	vtew	竹土儿夂
䉁	vers	竹耳𠆢丶龴
䉖	virs	竹車𠆢丶龴
䉹	vykr	竹雨口口口工人人
䌢	syrs	糹雨𠆢丶龴
䍅	frds	缶𠆢丶龴
䔖	cetw	艹⻖土儿夂
䕘	crdy	艹𠆢丶龴頁
䖅	cykr	艹雨口口口工人人
䙥	pyrs	衤雨𠆢丶龴
䚖	ykkj	雨口口口工人人見
䠲	urds	身𠆢丶龴
䡼	iykk	車雨口口口
䡿	iykr	車雨口口口工人人
䧙	eurx	⻖山𠆢⺗
䨩	ypuf	雨礻申
䯍	gors	冎⺼𠆢丶龴
䰱	ykkg	雨口口口工人人鬼
䴇	yrdn	雨𠆢丶龴鳥
䴒	ykkn	雨口口口工人人鳥
䴫	lyrs	鹿雨𠆢丶龴
令	rdsi	𠆢丶龴
伶	rrds	亻𠆢丶龴
凌	dtew	冫土儿夂
刢	rdsd	𠆢丶龴刂
另	kliz	口力
呤	krds	口𠆢丶龴
囹	krds	囗𠆢丶龴
坽	trds	土𠆢丶龴
夌	tewf	土儿夂
姈	nrds	女𠆢丶龴
婈	ntew	女土儿夂
孁	ykkn	雨口口口女
岭	urds	山𠆢丶龴
岺	urds	山𠆢丶龴
嶺	urdy	山𠆢丶龴頁
彾	rrds	彳𠆢丶龴
掕	ftew	扌土儿夂
昤	ords	日𠆢丶龴
朎	ords	月𠆢丶龴
柃	mrds	木𠆢丶龴
棂	meho	木彐火
櫺	mykk	木雨口口口
欞	mykr	木雨口口口工人人
泠	drds	氵𠆢丶龴
淩	dtew	氵土儿夂
澪	dyrs	氵雨𠆢丶龴
灵	ehoe	彐火
炩	hrds	火𠆢丶龴
燯	hyrs	火雨𠆢丶龴
爧	hykr	火雨口口口工人人
狑	qrds	犭𠆢丶龴
玲	wrds	𤣩𠆢丶龴
琌	wurv	𤣩山𠆢丶㇇
瓴	rdsw	𠆢丶龴瓦
皊	brds	白𠆢丶龴
砱	urds	石𠆢丶龴
祾	ptew	礻土儿夂
秢	hrds	禾𠆢丶龴
竛	lrds	立𠆢丶龴
笭	vrds	竹𠆢丶龴
紷	srds	糹𠆢丶龴
綾	stew	糹土儿夂
绫	stew	纟土儿夂
羐	ctjq	艹土久
羚	yrds	羊𠆢丶龴
翎	rdsx	𠆢丶龴习习
聆	erds	耳𠆢丶龴
舲	vrds	舟𠆢丶龴
苓	crds	艹𠆢丶龴
菱	ctew	艹土儿夂
蓤	cdtw	艹冫土儿夂
蔆	cdtw	艹氵土儿夂
蕶	cyrs	艹雨𠆢丶龴
蘦	cykk	艹雨口口口
蛉	irds	虫𠆢丶龴
衑	rads	彳一丁𠆢丶龴
袊	prds	衤𠆢丶龴
裬	ptew	衤土儿夂
詅	yrds	訁𠆢丶龴
跉	zrds	𧾷𠆢丶龴
軨	irds	車𠆢丶龴
輘	itew	車土儿夂
酃	ykke	雨口口口⻏
醽	yykk	酉雨口口口
鈴	jrds	金𠆢丶龴
錂	jtew	金土儿夂
铃	jrds	钅𠆢丶龴
閝	mrds	門𠆢丶龴
陵	etew	⻖土儿夂
零	yrds	雨𠆢丶龴
霊	yaay	雨一一业
霗	ydrs	雨氵𠆢丶龴
霛	yggg	雨弓弓弓
霝	ykkk	雨口口口
靈	ykkr	雨口口口工人人
領	rdsy	𠆢丶龴頁
领	rdsy	𠆢丶龴页
駖	mrds	馬𠆢丶龴
魿	yrds	魚𠆢丶龴
鯪	ytew	魚土儿夂
鲮	ytew	鱼土儿夂
鴒	rdsn	𠆢丶龴鳥
鸰	rdsn	𠆢丶龴鸟
鹷	vxds	占㐅丶丶丶丶𠆢丶龴
麢	lykk	鹿雨口口口
齡	vkrs	止凵人人一人人𠆢丶龴
齢	vkms	止凵米𠆢丶龴
龄	vkrs	止凵人𠆢丶龴
龗	ykkl	雨口口口龍
𠄖	rdsd	𠆢丶龴丁
𠏡	ryrs	亻雨𠆢丶龴
𠟨	yrdd	雨𠆢丶龴刂
𠠢	ykkd	雨口口口刀
𠡭	tewl	土儿夂力
𠱠	kkkz	口口口
𠻠	kers	口耳𠆢丶龴
𠻱	ketw	口⻖土儿夂
𠾥	kkrs	可可𠆢丶龴
𡈍	trrr	田人人人人
𡕮	qtew	去土儿夂
𡿡	uykr	山雨口口口工人人
𢌔	gykr	广雨口口口工人人
𢔁	rtew	彳土儿夂
𢩗	uehh	尸二户户
𢹝	fykk	扌雨口口口
𢺰	fykr	扌雨口口口工人人
𣌟	oykr	日雨口口口工人人
𣣋	tewq	土儿夂欠
𣬹	rdsm	𠆢丶龴毛
𤃩	dykk	氵雨口口口
𤖦	pykr	爿雨口口口工人人
𤜙	nykr	牜雨口口口工人人
𤣘	bolo	冖日六犭耂日
𤧘	whoo	𤣩禾日
𤨻	tbkw	士冖口口王
𤫲	rdsg	𠆢丶龴瓜
𤷖	btew	疒土儿夂
𤿅	bykr	白雨口口口工人人
𥌼	oykk	目雨口口口
𥤜	hcyk	禾艹雨口口口
𥤞	hykr	禾雨口口口工人人
𥥋	bbrs	宀八𠆢丶龴
𥩔	bbyr	宀八雨口口口工人人
𥵝	vrdy	竹𠆢丶龴頁
𥺙	mtew	米土儿夂
𥾂	mykr	米雨口口口工人人
𦉢	fykk	缶雨口口口
𦊓	srds	罒𠆢丶龴
𦐽	koxx	口⺝习习
𦫃	vykk	舟雨口口口
𦫊	vykr	舟雨口口口工人人
𧆺	rdsj	𠆢丶龴虍几
𧕅	iykk	虫雨口口口
𧖜	iykr	虫雨口口口工人人
𧟙	pykr	衤雨口口口工人人
𧨈	grrk	工人人亠二口
𧰻	urds	豕𠆢丶龴
𧱢	uurs	豕尸𠆢丶龴
𧲙	uykk	豕雨口口口
𧾇	tzxs	土龰覀大丶龴
𧾮	tzyk	土龰雨口口口
𨞎	kbie	口冖車⻏
𨠎	yrds	酉𠆢丶龴
𨽲	eykr	⻖雨口口口工人人
𩂙	yrxi	雨𠆢夕
𩃞	yhhu	雨戶戶
𩄊	yyui	雨訁十
𩆒	ykkx	雨口口口囗㐅
𩆚	ykkc	雨口口口冂卄
𩆮	ykkk	雨口口犬口口
𩆻	ykkh	雨口口口囗禾
𩆼	ykks	雨口口口氵𠆢丶龴
𩇄	ykko	雨口口口立日
𩇎	ykkt	雨口口口大口口土
𩊂	grds	革𠆢丶龴
𩑊	loyr	立日雨口口口工人人
𩖊	ykky	雨口口口頁
𩖵	frds	風𠆢丶龴
𩚹	urds	飠𠆢丶龴
𩜁	utew	飠土儿夂
𩟃	uyrs	飠雨𠆢丶龴
𩪥	goys	冎⺼雨𠆢丶龴
𩬔	egps	E𠫔彡𠆢丶龴
𩲩	grds	鬼𠆢丶龴
𩵀	ykkg	雨口口口鬼
𪅋	eten	⻖土儿夂鳥
𪋳	lyay	鹿雨一一业
𪋾	lwli	來{夊}力
𪌏	lwby	來{夊}⺊又
𪕌	jvrs	臼{鼠下}𠆢丶龴
𪛈	ykkg	雨口口口龜
㐬	sair	厶一𫶧
㙀	tbbj	土宀八九
㨨	fpdt	扌{丿𠄌丶}刀田
㶯	hper	火𠂎卩
㽌	ypdw	雨{丿𠄌丶}刀田瓦
㽞	kktm	口口田
䄂	pyzp	礻由
䉧	vped	竹𠂎卩金刂
䋷	mwxi	矛攵糸
䗜	ipdt	虫{丿𠄌丶}刀田
䚧	dyxp	⺈用习习𠆢彡
䬟	fped	風𠂎卩金刂
䭷	mmca	馬毛
䰘	mxxp	鬥习习𠆢彡
䱖	yakl	魚{一}口丨
䱞	ydui	魚大示
䶉	jvpt	臼{鼠下}{丿𠄌丶}刀田
六	wbaf	亠八
刘	wdcf	文刂
劉	pejd	𠂎卩金刂
嚠	kped	口𠂎卩金刂
塯	tpdt	土{丿𠄌丶}刀田
媹	npdt	女{丿𠄌丶}刀田
嬼	nped	女𠂎卩金刂
嵧	updt	山{丿𠄌丶}刀田
廇	gpdt	广{丿𠄌丶}刀田
懰	xped	忄𠂎卩金刂
斿	fpzi	方𠂉子
旈	fsai	方厶一𫶧
旒	fpsi	方𠂉厶一𫶧
柳	mper	木𠂎卩
栁	mxer	木夕卩
桞	mxer	木夕⻏
桺	makl	木{一}口丨
榴	mpdt	木{丿𠄌丶}刀田
橊	makt	木{一}口丨田
橮	mpdb	木{丿𠄌丶}刀貝
流	dsai	氵厶一𫶧
浏	dwdc	氵文刂
溜	dpdt	氵{丿𠄌丶}刀田
澑	dakt	氵{一}口丨田
瀏	dped	氵𠂎卩金刂
熘	hpdt	火{丿𠄌丶}刀田
熮	hxxp	火习习𠆢彡
珋	wper	𤣩𠂎卩
琉	wsai	𤣩厶一𫶧
瑠	wpdt	𤣩{丿𠄌丶}刀田
瑬	dsay	氵厶一𫶧玉
璢	wakt	𤣩{一}口丨田
畄	xtmn	𭕄田
留	pdtm	{丿𠄌丶}刀田
畱	aklt	{一}口丨田
疁	txxp	田习习𠆢彡
瘤	bpdt	疒{丿𠄌丶}刀田
癅	bakt	疒{一}口丨田
硫	usai	石厶一𫶧
碌	ueuv	石彐⺢
磂	updt	石{丿𠄌丶}刀田
磟	uxxp	石习习𠆢彡
綹	swbk	糹夂卜口
绺	swbk	纟夂卜口
罶	spdt	罒{丿𠄌丶}刀田
羀	kxxt	冂乂乂{一}口丨田
翏	xxrp	习习𠆢彡
蒥	cpdt	艹{丿𠄌丶}刀田
蓅	cdsi	艹氵厶一𫶧
藰	cped	艹𠂎卩金刂
蟉	ixxp	虫习习𠆢彡
裗	psai	衤厶一𫶧
蹓	zpdt	𧾷{丿𠄌丶}刀田
遛	zpdt	辶{丿𠄌丶}刀田
鋶	jsai	金厶一𫶧
鎏	dsaj	氵厶一𫶧金
鎦	jpdt	金{丿𠄌丶}刀田
鏐	jxxp	金习习𠆢彡
鐂	jakt	金{一}口丨田
锍	jsai	钅厶一𫶧
镏	jpdt	钅{丿𠄌丶}刀田
镠	jxxp	钅习习𠆢彡
陆	ejir	⻖击
雡	xxrv	习习𠆢彡亻{隹右}
霤	ypdt	雨{丿𠄌丶}刀田
飀	fpdt	風{丿𠄌丶}刀田
飅	fakt	風{一}口丨田
飗	fpdt	风{丿𠄌丶}刀田
餾	updt	飠{丿𠄌丶}刀田
馏	updt	饣{丿𠄌丶}刀田
駠	mper	馬𠂎卩
駵	makl	馬{一}口丨
騮	mpdt	馬{丿𠄌丶}刀田
驑	makt	馬{一}口丨田
骝	mpdt	马{丿𠄌丶}刀田
鬸	gpdt	鬲{丿𠄌丶}刀田
鰡	ypdt	魚{丿𠄌丶}刀田
鶹	pdtn	{丿𠄌丶}刀田鳥
鷚	xxrn	习习𠆢彡鳥
鹠	pdtn	{丿𠄌丶}刀田鸟
鹨	xxrn	习习𠆢彡鸟
麍	lsai	鹿厶一𫶧
𠗽	dxxp	冫习习𠆢彡
𠛓	pedc	𠂎卩刂
𠪐	ipdt	厂{丿𠄌丶}刀田
𢏭	gsai	弓厶一𫶧
𢔲	rakt	彳{一}口丨田
𢞭	pdtx	{丿𠄌丶}刀田心
𢣠	opdx	月{丿𠄌丶}刀田心
𢤐	pejx	𠂎卩金刂心
𢷶	fped	扌𠂎卩金刂
𣞗	mped	木𠂎卩金刂
𣟑	mbac	木癶一口䒑寸
𣠚	mypt	木雨{丿𠄌丶}刀田
𣱳	auva	一水
𤥗	wakl	𤣩{一}口丨
𤮷	yakw	雨{一}口丨田瓦
𥀓	pdtp	{丿𠄌丶}刀田皮
𥆦	owwh	目兀王
𥌐	opdx	目{丿𠄌丶}刀田心
𥛅	updt	示{丿𠄌丶}刀田
𥠷	hpdt	禾{丿𠄌丶}刀田
𥥹	bbal	宀八{一}口丨
𥧕	bbdi	宀八氵厶一𫶧
𥨌	bbat	宀八{一}口丨田
𥰣	vpdt	竹{丿𠄌丶}刀田
𥶅	vdat	竹氵{一}口丨田
𥹷	msai	米厶一𫶧
𦀠	ssai	糹厶一𫶧
𦃓	spdt	糹{丿𠄌丶}刀田
𦉉	fpdt	缶{丿𠄌丶}刀田
𦊗	kyxv	冂又夕㔾
𦊿	sakl	罒{一}口丨
𦌁	sukn	罒申口女
𦑾	xxao	习习一一日日
𧏓	iwrt	虫夂人田
𧮗	wekx	亠二口亠二口亠二口心
𨋖	iper	車𠂎卩
𨍸	ipdt	車{丿𠄌丶}刀田
𨢇	ypdt	酉{丿𠄌丶}刀田
𨦰	jakl	金{一}口丨
𨪕	jbcc	金勹屮勹屮
𨻧	epdt	⻖{丿𠄌丶}刀田
𩆎	ydpt	雨氵{丿𠄌丶}刀田
𩖴	fper	風𠂎卩
𩗩	jfgn	金風
𩙄	bakf	癶一口䒑風
𩢞	mger	馬工卩
𪃂	dsan	氵厶一𫶧鳥
𪆱	pdjn	{丿𠄌丶}刀金鳥
𪇯	xxrn	习习𠆢彡戈鳥
𪎣	gmmi	广木木厶一𫶧
㑝	rwcc	亻王廾
㙙	dlpt	氵龙丿丿土
㚅	waug	夂一生
㛞	nwcc	女王廾
㝫	bewu	宀⻖夂一生
㟖	uwcc	山王廾
㡣	wbbv	亠丷冖巾{龍右}
㢅	gwcc	广王廾
㦕	xewu	忄⻖夂一生
㰍	lmus	龍木
㴳	dtlp	氵土龙丿丿
䃧	ewau	⻖夂一生石
䆍	hlse	禾龍
䏊	elsr	耳龍
䙪	mmxy	木木乂乂大衣
䡁	ulsf	身龍
䥢	tkbj	士口䒑支金
䪊	glse	革龍
儱	rlsf	亻龍
咙	klsz	口龙
哢	kwcc	口王廾
嚨	klsz	口龍
垄	ltus	龙土
垅	tlsu	土龙
壟	ltus	龍土
壠	tlsu	土龍
尨	lppp	龙丿丿
嶐	uewu	山⻖夂一生
巃	ulsj	山龍
巄	ulsj	山龍
弄	wcch	王廾
徿	rlsf	彳龍
拢	flsu	扌龙
攏	flsu	扌龍
昽	olso	日龙
曨	olso	日龍
朧	olso	月龍
栊	mlsu	木龙
梇	mwcc	木王廾
槞	mldm	木立电
櫳	mlsu	木龍
泷	dlsd	氵龙
湰	dwau	氵夂一生
滝	dldm	氵立电
漋	dewu	氵⻖夂一生
瀧	dlsd	氵龍
爖	hlso	火龍
珑	wlsf	𤣩龙
瓏	wlsf	𤣩龍
癃	bewu	疒⻖夂一生
眬	olsu	目龙
矓	olsu	目龍
砻	luis	龙石
硦	uwcc	石王廾
礱	luis	龍石
礲	ulsi	石龍
窿	bbeu	宀八⻖夂一生
竉	bbls	宀八龍
竜	ldmi	立电
笼	vlsu	竹龙
篭	vldm	竹立电
籠	vlsu	竹龍
聋	lers	龙耳
聾	lers	龍耳
胧	olso	⺼龙
茏	clsc	艹龙
蘢	clsc	艹龍
蠪	liss	龍虫
蠬	ilss	虫龍
襱	plsp	衤龍
豅	glsu	谷龍
贚	blsw	貝龍
躘	zlsu	𧾷龍
鏧	tuuj	士𠃜殳金
鑨	jlsn	金龍
陇	elsr	⻖龙
隆	ewau	⻖夂一生
隴	elsr	⻖龍
霳	yewu	雨⻖夂一生
靇	ylsu	雨龍
驡	lmas	龍馬
鸗	lnns	龍鳥
龍	lovv	立月{龍右}
龒	luis	龍示
龓	uols	𠂇月龍
龙	yppz	尤丿
𠮽	kccz	口廾
𠱚	kuxx	口上下
𠾐	kewu	口⻖夂一生
𡃡	lkzs	龍口
𡬍	bpcm	宀爿艹⺫冖米
𡱯	uwcc	尸王廾
𢙱	xwcc	忄王廾
𢤱	xlsb	忄龍
𢤲	lxbs	龍心
𢸭	luzs	龍手
𣫣	tuui	士𠃜殳共虫
𤵸	bwfg	疒夂㐄
𤼃	blsk	疒龍
𤾭	bwyo	白王聿曰
𥦌	bbwc	宀八王廾
𥪢	llba	立里八
𥪻	eypl	耳尢彡立
𥬆	vjku	竹井
𥳌	vewu	竹⻖夂一生
𥸉	vlmu	竹龍木
𦪽	vlsz	舟龍
𧍰	iwau	虫夂一生
𧙥	pkak	衤冂{一}口
𧚂	pwcc	衤王廾
𨇘	lzus	龍足
𨏠	ilse	車龍
𨛓	wcer	王廾⻏
𨺚	ewji	⻖攵{击}
𩂽	ywcc	雨王廾
𩄺	ykwc	雨口王廾
𩙘	flsg	風龍
𩙠	ffgv	風風龜
𩟭	ulsi	飠龍
𪐖	hrul	禾人氺龍
𪔕	tkbf	士口䒑支缶
𪔳	ewav	⻖夂一生士口䒑支
𪔷	tkbl	士口䒑支龍
𪚑	ljbs	龍巾
𪚓	qlsr	犭龍
𪚘	dlsj	丹龍
